법령일련번호,현행연혁코드,법령명한글,법령약칭명,법령ID,공포일자,공포번호,제개정구분명,소관부처코드,소관부처명,법령구분명,시행일자,자법타법여부,법령상세링크,공백제거법령명
235481,현행,제품의 포장재질ㆍ포장방법에 관한 기준 등에 관한 규칙,제품포장규칙,8198,20210910,933,일부개정,1480000,환경부,환경부령,20210910,NaN,/DRF/lawService.do?OC=ngho1202&target=law&MST=235481&type=HTML&mobileYn=&efYd=20210910,제품의포장재질ㆍ포장방법에관한기준등에관한규칙
166688,현행,조경진흥법,NaN,12225,20150106,12988,제정,1613000,국토교통부,법률,20160107,NaN,/DRF/lawService.do?OC=ngho1202&target=law&MST=166688&type=HTML&mobileYn=&efYd=20160107,조경진흥법
204695,현행,조경진흥법 시행령,NaN,12463,20180928,29198,일부개정,1613000,국토교통부,대통령령,20180928,NaN,/DRF/lawService.do?OC=ngho1202&target=law&MST=204695&type=HTML&mobileYn=&efYd=20180928,조경진흥법시행령
179483,현행,조경진흥법 시행규칙,NaN,12476,20160107,275,제정,1613000,국토교통부,국토교통부령,20160107,NaN,/DRF/lawService.do?OC=ngho1202&target=law&MST=179483&type=HTML&mobileYn=&efYd=20160107,조경진흥법시행규칙
190557,현행,조기진급 등에 관한 규정,NaN,4859,20161230,27751,타법개정,1342000,교육부,대통령령,20170101,NaN,/DRF/lawService.do?OC=ngho1202&target=law&MST=190557&type=HTML&mobileYn=&efYd=20170101,조기진급등에관한규정
218865,현행,조달사업에 관한 법률,조달사업법,705,20200609,17348,타법개정,1051000 1230000,"기획재정부,조달청",법률,20201210,NaN,/DRF/lawService.do?OC=ngho1202&target=law&MST=218865&type=HTML&mobileYn=&efYd=20201210,조달사업에관한법률
234529,현행,조달사업에 관한 법률 시행령,조달사업법시행령,4862,20210806,31931,타법개정,1051000 1230000,"기획재정부,조달청",대통령령,20210809,NaN,/DRF/lawService.do?OC=ngho1202&target=law&MST=234529&type=HTML&mobileYn=&efYd=20210809,조달사업에관한법률시행령
222263,현행,조달사업에 관한 법률 시행규칙,조달사업법시행규칙,8200,20201005,808,전부개정,1051000 1230000,"기획재정부,조달청",기획재정부령,20201005,NaN,/DRF/lawService.do?OC=ngho1202&target=law&MST=222263&type=HTML&mobileYn=&efYd=20201005,조달사업에관한법률시행규칙
242327,현행,조달청과 그 소속기관 직제,NaN,4867,20220509,32629,타법개정,1741000,행정안전부,대통령령,20220509,NaN,/DRF/lawService.do?OC=ngho1202&target=law&MST=242327&type=HTML&mobileYn=&efYd=20220509,조달청과그소속기관직제
241509,현행,조달청과 그 소속기관 직제 시행규칙,NaN,8201,20220324,911,일부개정,1230000,조달청,기획재정부령,20220324,NaN,/DRF/lawService.do?OC=ngho1202&target=law&MST=241509&type=HTML&mobileYn=&efYd=20220324,조달청과그소속기관직제시행규칙
